iter	Accuracy	Logloss
287	0.9652076319	0.1558618108
288	0.9652076319	0.1553002889
289	0.9652076319	0.154930853
290	0.9663299663	0.154518674
291	0.9663299663	0.1543715592
292	0.9663299663	0.1536323572
293	0.9663299663	0.1534214949
294	0.9652076319	0.1533828408
295	0.9652076319	0.1530450916
296	0.9663299663	0.1520432884
297	0.9663299663	0.1514124123
298	0.9674523008	0.1507069552
299	0.9663299663	0.1502304009
300	0.9663299663	0.1501052014
301	0.9652076319	0.1493485888
302	0.9652076319	0.1492248055
303	0.9663299663	0.1482559096
304	0.9674523008	0.1473817623
305	0.9685746352	0.1470161145
306	0.9674523008	0.1460969323
307	0.9696969697	0.1456350208
308	0.9696969697	0.1455127415
309	0.9696969697	0.1452078434
310	0.9696969697	0.144973413
311	0.9696969697	0.1447789231
312	0.9696969697	0.1439120511
313	0.9696969697	0.1435755645
314	0.9696969697	0.143227947
315	0.9696969697	0.1430825903
316	0.9696969697	0.1427803318
317	0.9696969697	0.1420243013
318	0.9696969697	0.1415398441
319	0.9696969697	0.1413547902
320	0.9696969697	0.1407443184
321	0.9696969697	0.1404834818
322	0.9719416386	0.1401048628
323	0.9730639731	0.1396806961
324	0.9730639731	0.1394641045
325	0.9730639731	0.1392594296
326	0.9730639731	0.1390464355
327	0.9741863075	0.1388451206
328	0.9730639731	0.1382135392
329	0.9719416386	0.1380429157
330	0.9730639731	0.1377541794
331	0.9730639731	0.1375975052
332	0.9730639731	0.1372555876
333	0.9741863075	0.1369484501
334	0.9741863075	0.1362136066
335	0.9741863075	0.1361828046
336	0.9730639731	0.1358011201
337	0.9730639731	0.1353378525
338	0.9719416386	0.1350868388
339	0.9719416386	0.1344824194
340	0.9719416386	0.1342130579
341	0.9719416386	0.1336165969
342	0.9730639731	0.1331187051
343	0.9730639731	0.1330587754
344	0.9730639731	0.1327761396
345	0.9730639731	0.1327294983
346	0.9719416386	0.1322210476
347	0.9719416386	0.131256598
348	0.9719416386	0.1310258422
349	0.9719416386	0.1309613322
350	0.9719416386	0.1307520648
351	0.975308642	0.1295651726
352	0.975308642	0.12925999
353	0.975308642	0.129227526
354	0.975308642	0.1289954059
355	0.975308642	0.1289409577
356	0.9741863075	0.1283098697
357	0.9741863075	0.1276483962
358	0.9741863075	0.1275239969
359	0.9730639731	0.1273271841
360	0.9730639731	0.1271753078
361	0.9730639731	0.1267406371
362	0.9730639731	0.1265702326
363	0.9730639731	0.1263658033
364	0.9730639731	0.125857479
365	0.9741863075	0.1256723664
366	0.975308642	0.1254465359
367	0.9741863075	0.1248379711
368	0.9741863075	0.1243908632
369	0.9741863075	0.1240498591
370	0.975308642	0.1238932441
371	0.975308642	0.1235427936
372	0.9764309764	0.123053097
373	0.9775533109	0.1225842972
374	0.9775533109	0.1225036003
375	0.9775533109	0.1220095982
376	0.9775533109	0.1217806641
377	0.9775533109	0.1215690189
378	0.9775533109	0.1212510875
379	0.9775533109	0.120898641
380	0.9764309764	0.1208121044
381	0.9775533109	0.1205828904
382	0.9764309764	0.1198586197
383	0.9764309764	0.1197751178
384	0.9764309764	0.1195112319
385	0.9764309764	0.1193406537
386	0.9764309764	0.1188771487
387	0.9764309764	0.1187278214
388	0.9764309764	0.1186917832
389	0.9764309764	0.1184458666
390	0.9764309764	0.1181905916
391	0.9764309764	0.1177237006
392	0.9764309764	0.1176789481
393	0.9764309764	0.1176042609
394	0.9764309764	0.1173808817
395	0.9764309764	0.1167521651
396	0.9764309764	0.1161521986
397	0.9764309764	0.1160709433
398	0.9764309764	0.1157873973
399	0.9764309764	0.1157539989
400	0.9764309764	0.115356875
401	0.9775533109	0.1148487834
402	0.9775533109	0.1144725638
403	0.9786756453	0.1142160626
404	0.9786756453	0.1141860478
405	0.9775533109	0.1136596176
406	0.9775533109	0.113622789
407	0.9775533109	0.1133342572
408	0.9775533109	0.1127742515
409	0.9786756453	0.1125838808
410	0.9786756453	0.1125634611
411	0.9786756453	0.1125292149
412	0.9786756453	0.1124885891
413	0.9786756453	0.1124357486
414	0.9786756453	0.1123306981
415	0.9786756453	0.1121471704
416	0.9786756453	0.1118656673
417	0.9786756453	0.1117538534
418	0.9786756453	0.1116513699
419	0.9775533109	0.1113305244
420	0.9764309764	0.1109967843
421	0.9764309764	0.1100285218
422	0.9764309764	0.1099673182
423	0.9764309764	0.109522426
424	0.9764309764	0.1093392087
425	0.9764309764	0.1092960931
